time,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,cfg0_x,cfg0_y,cfg0_z,cfg1_x,cfg1_y,cfg1_z,cfg2_x,cfg2_y,cfg2_z,cfg3_x,cfg3_y,cfg3_z,cfg4_x,cfg4_y,cfg4_z,cfg5_x,cfg5_y,cfg5_z
1.32512,0.00325573,0,0.23973,0,0,0,-0.0650846,1.37655,1.24469,-0.00967223,1.17877,1.08606,-0.0365664,1.37161,1.26235,-0.000238022,1.16189,1.07445,-0.0650846,1.37655,1.24469,0.0158186,1.17612,1.08027
1.33507,0.00357002,0,0.239704,0,0,0,-0.0675239,1.37625,1.24403,-0.00926551,1.17015,1.07915,-0.0389592,1.37107,1.26253,0.00105271,1.1527,1.06736,-0.0675239,1.37625,1.24403,0.0159867,1.16735,1.07291
1.34517,0.00389832,0,0.239677,0,0,0,-0.0699637,1.37594,1.24337,-0.00884227,1.16163,1.07236,-0.0413502,1.37054,1.26272,0.00239606,1.14364,1.06043,-0.0699637,1.37594,1.24337,0.0161617,1.15868,1.06565
1.35514,0.00424057,0,0.239649,0,0,0,-0.072404,1.37563,1.24271,-0.00840273,1.15321,1.0657,-0.0437397,1.37,1.26291,0.00379138,1.13469,1.05365,-0.072404,1.37563,1.24271,0.0163434,1.1501,1.05851
1.36499,0.00459667,0,0.239619,0,0,0,-0.0748447,1.37532,1.24206,-0.00794711,1.14488,1.05915,-0.0461274,1.36947,1.2631,0.00523801,1.12587,1.04703,-0.0748447,1.37532,1.24206,0.0165318,1.14163,1.05146
1.37509,0.00496653,0,0.239589,0,0,0,-0.0772859,1.37501,1.24141,-0.00747561,1.13666,1.05272,-0.0485133,1.36893,1.26331,0.00673528,1.11717,1.04055,-0.0772859,1.37501,1.24141,0.0167268,1.13325,1.04453
1.38511,0.00535007,0,0.239557,0,0,0,-0.0797273,1.3747,1.24077,-0.00698846,1.12854,1.04642,-0.0508975,1.3684,1.26352,0.00828255,1.10858,1.03423,-0.0797273,1.3747,1.24077,0.0169282,1.12498,1.0377
1.39508,0.00574718,0,0.239524,0,0,0,-0.0821692,1.37438,1.24014,-0.00648587,1.12052,1.04023,-0.05328,1.36786,1.26373,0.00987914,1.10012,1.02805,-0.0821692,1.37438,1.24014,0.0171359,1.1168,1.03098
1.40509,0.00615778,0,0.23949,0,0,0,-0.0846113,1.37407,1.23951,-0.00596805,1.1126,1.03417,-0.0556606,1.36733,1.26395,0.0115244,1.09177,1.02203,-0.0846113,1.37407,1.23951,0.01735,1.10872,1.02436
1.41522,0.00658176,0,0.239455,0,0,0,-0.0870537,1.37375,1.23888,-0.00543521,1.10478,1.02822,-0.0580394,1.36679,1.26418,0.0132177,1.08355,1.01615,-0.0870537,1.37375,1.23888,0.0175703,1.10074,1.01785
1.42513,0.00701901,0,0.239419,0,0,0,-0.0894964,1.37343,1.23826,-0.00488758,1.09707,1.02239,-0.0604163,1.36626,1.26441,0.0149583,1.07544,1.01043,-0.0894964,1.37343,1.23826,0.0177967,1.09286,1.01144
1.435,0.00746943,0,0.239382,0,0,0,-0.0919393,1.37311,1.23765,-0.00432535,1.08945,1.01668,-0.0627914,1.36572,1.26464,0.0167456,1.06746,1.00485,-0.0919393,1.37311,1.23765,0.0180291,1.08508,1.00514
1.44524,0.00793291,0,0.239343,0,0,0,-0.0943824,1.37279,1.23704,-0.00374876,1.08193,1.01109,-0.0651646,1.36519,1.26489,0.018579,1.05959,0.999412,-0.0943824,1.37279,1.23704,0.0182675,1.07739,0.998949
1.45512,0.00840933,0,0.239304,0,0,0,-0.0968256,1.37247,1.23643,-0.003158,1.07452,1.00562,-0.0675359,1.36465,1.26514,0.0204577,1.05184,0.994124,-0.0968256,1.37247,1.23643,0.0185117,1.06981,0.992859
1.4651,0.00889858,0,0.239263,0,0,0,-0.099269,1.37214,1.23583,-0.0025533,1.0672,1.00026,-0.0699052,1.36412,1.26539,0.0223812,1.04422,0.988983,-0.099269,1.37214,1.23583,0.0187617,1.06233,0.986874
1.47519,0.00940053,0,0.239222,0,0,0,-0.101713,1.37182,1.23524,-0.00193487,1.05999,0.995025,-0.0722726,1.36358,1.26565,0.0243487,1.03671,0.983985,-0.101713,1.37182,1.23524,0.0190173,1.05494,0.980994
